Geo Point;Geo Shape;access;building;amenity;@id;source
50.609469966, 3.13822442817;"{""type"": ""Polygon"", ""coordinates"": [[[3.1382177, 50.6094941], [3.1381974, 50.6094612], [3.1382099, 50.6094581], [3.1382045, 50.6094495], [3.1382129, 50.6094474], [3.1382277, 50.6094437], [3.1382534, 50.6094852], [3.1382177, 50.6094941]]]}";permissive;;toilets;way/260294899;
50.6094830357, 3.13818526085;"{""type"": ""Polygon"", ""coordinates"": [[[3.1381658, 50.609507], [3.1381541, 50.6094881], [3.1381777, 50.6094822], [3.1381637, 50.6094597], [3.1381734, 50.6094573], [3.1381823, 50.6094551], [3.1381876, 50.6094636], [3.1381974, 50.6094612], [3.1382177, 50.6094941], [3.1381897, 50.609501], [3.1381658, 50.609507]]]}";permissive;;toilets;way/260294910;
50.6047921052, 3.14612714408;"{""type"": ""Polygon"", ""coordinates"": [[[3.1460924, 50.6047997], [3.1461273, 50.6047688], [3.1461619, 50.6047845], [3.146127, 50.6048154], [3.1461093, 50.6048074], [3.1460924, 50.6047997]]]}";;;toilets;way/286629167;
50.6047921025, 3.14612714732;"{""type"": ""Polygon"", ""coordinates"": [[[3.1460924, 50.6047997], [3.1461273, 50.6047688], [3.1461619, 50.6047845], [3.146127, 50.6048154], [3.1461111, 50.6048082], [3.1460924, 50.6047997]]]}";;;toilets;way/286634671;
50.7071157477, 3.21204787923;"{""type"": ""Polygon"", ""coordinates"": [[[3.2119912, 50.7070836], [3.2121209, 50.7071022], [3.2121045, 50.7071479], [3.2119749, 50.7071293], [3.2119912, 50.7070836]]]}";;yes;toilets;way/307739616;
50.6315482, 3.0546042;"{""type"": ""Point"", ""coordinates"": [3.0546042, 50.6315482]}";;;toilets;node/2275671052;local survey
50.6007601, 3.0204749;"{""type"": ""Point"", ""coordinates"": [3.0204749, 50.6007601]}";;;toilets;node/2356598264;
50.6874749, 2.8832869;"{""type"": ""Point"", ""coordinates"": [2.8832869, 50.6874749]}";;;toilets;node/2425200643;local knowledge
50.626716, 3.0487534;"{""type"": ""Point"", ""coordinates"": [3.0487534, 50.626716]}";;;toilets;node/3758894309;
50.6156342, 3.0164125;"{""type"": ""Point"", ""coordinates"": [3.0164125, 50.6156342]}";;;toilets;node/4171606663;
50.6240942, 3.1818296;"{""type"": ""Point"", ""coordinates"": [3.1818296, 50.6240942]}";;;toilets;node/4452224727;
50.6096394499, 3.13753617211;"{""type"": ""Polygon"", ""coordinates"": [[[3.1375398, 50.6096617], [3.1375144, 50.609668], [3.1374897, 50.6096278], [3.1375119, 50.6096223], [3.137515, 50.6096215], [3.1375359, 50.6096163], [3.137539, 50.6096155], [3.1375459, 50.6096138], [3.1375577, 50.6096108], [3.1375827, 50.6096511], [3.1375708, 50.6096541], [3.1375638, 50.6096558], [3.1375608, 50.6096566], [3.1375398, 50.6096617]]]}";permissive;;toilets;way/258642873;
50.6096421682, 3.13752521017;"{""type"": ""Polygon"", ""coordinates"": [[[3.1375144, 50.609668], [3.1374897, 50.6096278], [3.1375062, 50.6096237], [3.137515, 50.6096215], [3.1375359, 50.6096163], [3.1375608, 50.6096566], [3.1375398, 50.6096617], [3.1375144, 50.609668]]]}";permissive;;toilets;way/259424706;
50.6094830393, 3.13818526259;"{""type"": ""Polygon"", ""coordinates"": [[[3.1381658, 50.609507], [3.1381541, 50.6094881], [3.1381777, 50.6094822], [3.1381637, 50.6094597], [3.1381727, 50.6094575], [3.1381823, 50.6094551], [3.1381876, 50.6094636], [3.1381974, 50.6094612], [3.1382177, 50.6094941], [3.1381897, 50.609501], [3.1381658, 50.609507]]]}";permissive;;toilets;way/259424719;
50.6449976356, 3.07267822255;"{""type"": ""Polygon"", ""coordinates"": [[[3.0727128, 50.644998], [3.0726956, 50.6450155], [3.0726436, 50.6449969], [3.0726603, 50.64498], [3.0726681, 50.6449826], [3.0727128, 50.644998]]]}";permissive;;toilets;way/358383974;
50.5767058, 2.978432;"{""type"": ""Point"", ""coordinates"": [2.978432, 50.5767058]}";no;;toilets;node/2964374412;Ppige
50.5749676, 2.9768315;"{""type"": ""Point"", ""coordinates"": [2.9768315, 50.5749676]}";;;toilets;node/2968910264;
50.6847768, 3.0551756;"{""type"": ""Point"", ""coordinates"": [3.0551756, 50.6847768]}";;;toilets;node/3100561753;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2014
50.6546096, 2.9815331;"{""type"": ""Point"", ""coordinates"": [2.9815331, 50.6546096]}";permissive;;toilets;node/3377075233;
50.6941964, 2.8091683;"{""type"": ""Point"", ""coordinates"": [2.8091683, 50.6941964]}";public;;toilets;node/3617365353;
50.6322715, 3.0622237;"{""type"": ""Point"", ""coordinates"": [3.0622237, 50.6322715]}";;;toilets;node/3758894308;
50.6182768905, 3.16384447397;"{""type"": ""Polygon"", ""coordinates"": [[[3.1637967, 50.6183181], [3.1638062, 50.618233], [3.1638897, 50.6182343], [3.1638851, 50.6183205], [3.1637967, 50.6183181]]]}";private;yes;toilets;way/79066603;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009
50.609469966, 3.13822442817;"{""type"": ""Polygon"", ""coordinates"": [[[3.1382177, 50.6094941], [3.1381974, 50.6094612], [3.1382099, 50.6094581], [3.1382045, 50.6094495], [3.1382149, 50.6094469], [3.1382277, 50.6094437], [3.1382534, 50.6094852], [3.1382177, 50.6094941]]]}";permissive;;toilets;way/259424712;
50.6094699702, 3.13822442973;"{""type"": ""Polygon"", ""coordinates"": [[[3.1382534, 50.6094852], [3.1382177, 50.6094941], [3.1381974, 50.6094612], [3.1382099, 50.6094581], [3.1382045, 50.6094495], [3.1382154, 50.6094468], [3.1382277, 50.6094437], [3.1382534, 50.6094852]]]}";permissive;;toilets;way/259424718;
50.6094830366, 3.13818526128;"{""type"": ""Polygon"", ""coordinates"": [[[3.1381823, 50.6094551], [3.1381876, 50.6094636], [3.1381974, 50.6094612], [3.1382177, 50.6094941], [3.1381897, 50.609501], [3.1381658, 50.609507], [3.1381541, 50.6094881], [3.1381777, 50.6094822], [3.1381637, 50.6094597], [3.138171, 50.6094579], [3.1381823, 50.6094551]]]}";permissive;;toilets;way/259424721;
50.6096447683, 3.13751473682;"{""type"": ""Polygon"", ""coordinates"": [[[3.1375144, 50.609668], [3.1374897, 50.6096278], [3.1375079, 50.6096233], [3.137515, 50.6096215], [3.1375398, 50.6096617], [3.1375144, 50.609668]]]}";permissive;;toilets;way/260294946;
50.6094699744, 3.13822443158;"{""type"": ""Polygon"", ""coordinates"": [[[3.1382177, 50.6094941], [3.1381974, 50.6094612], [3.1382099, 50.6094581], [3.1382045, 50.6094495], [3.1382131, 50.6094474], [3.1382277, 50.6094437], [3.1382534, 50.6094852], [3.1382177, 50.6094941]]]}";permissive;;toilets;way/276961677;
50.6048192511, 3.14618686833;"{""type"": ""Polygon"", ""coordinates"": [[[3.1461503, 50.604826], [3.1461852, 50.6047951], [3.1462234, 50.6048125], [3.1461886, 50.6048434], [3.1461829, 50.6048408], [3.1461503, 50.604826]]]}";;;toilets;way/286629152;
50.6048192579, 3.14618686327;"{""type"": ""Polygon"", ""coordinates"": [[[3.1461503, 50.604826], [3.1461852, 50.6047951], [3.1462234, 50.6048125], [3.1461886, 50.6048434], [3.1461826, 50.6048407], [3.1461503, 50.604826]]]}";;;toilets;way/286634652;
50.7111809, 3.2103114;"{""type"": ""Polygon"", ""coordinates"": [[[3.2102981, 50.7112301], [3.2102344, 50.7111915], [3.2103247, 50.7111317], [3.2103884, 50.7111703], [3.2102981, 50.7112301]]]}";;yes;toilets;way/307877619;
50.6447821897, 3.07289315012;"{""type"": ""Polygon"", ""coordinates"": [[[3.0728752, 50.6447591], [3.0729366, 50.6447797], [3.0729113, 50.644805], [3.0728499, 50.6447852], [3.0728752, 50.6447591]]]}";permissive;;toilets;way/358383969;
50.6448142309, 3.0728620796;"{""type"": ""Polygon"", ""coordinates"": [[[3.0728406, 50.6447952], [3.0729011, 50.6448149], [3.0728819, 50.6448336], [3.0728342, 50.6448167], [3.0728233, 50.6448127], [3.0728406, 50.6447952]]]}";permissive;;toilets;way/358383977;
50.7044949, 2.7876646;"{""type"": ""Point"", ""coordinates"": [2.7876646, 50.7044949]}";;;toilets;node/4618866675;
50.6096299738, 3.13732708146;"{""type"": ""Polygon"", ""coordinates"": [[[3.1373051, 50.6096203], [3.1373331, 50.6096134], [3.1373391, 50.6096232], [3.137349, 50.6096397], [3.1373385, 50.6096423], [3.137321, 50.6096465], [3.137311, 50.60963], [3.1373051, 50.6096203]]]}";permissive;;toilets;way/256718050;
50.6096272028, 3.13736147049;"{""type"": ""Polygon"", ""coordinates"": [[[3.137349, 50.6096397], [3.1373391, 50.6096232], [3.137374, 50.6096147], [3.1373838, 50.6096312], [3.1373581, 50.6096375], [3.137349, 50.6096397]]]}";permissive;;toilets;way/256859778;
50.604868323, 3.14647836016;"{""type"": ""Polygon"", ""coordinates"": [[[3.1465183, 50.6048595], [3.1465109, 50.6048661], [3.14649, 50.6048846], [3.1464777, 50.6048955], [3.1464382, 50.6048775], [3.1464794, 50.6048409], [3.1465183, 50.6048595]]]}";;;toilets;way/286615560;
50.6093686, 2.985369;"{""type"": ""Point"", ""coordinates"": [2.985369, 50.6093686]}";;;toilets;node/724229564;
50.6421571, 3.0611578;"{""type"": ""Point"", ""coordinates"": [3.0611578, 50.6421571]}";;;toilets;node/1117716322;
50.62892, 3.0575;"{""type"": ""Point"", ""coordinates"": [3.0575, 50.62892]}";;;toilets;node/2275671046;local survey
50.7816997, 3.0467997;"{""type"": ""Point"", ""coordinates"": [3.0467997, 50.7816997]}";permissive;;toilets;node/2631850545;
50.6346713, 3.0654776;"{""type"": ""Point"", ""coordinates"": [3.0654776, 50.6346713]}";;;toilets;node/3129767326;
50.6385645, 3.0502281;"{""type"": ""Point"", ""coordinates"": [3.0502281, 50.6385645]}";;;toilets;node/3758894310;
50.6096222883, 3.13735852309;"{""type"": ""Polygon"", ""coordinates"": [[[3.1373331, 50.6096134], [3.1373682, 50.6096049], [3.1373709, 50.6096095], [3.137374, 50.6096147], [3.1373838, 50.6096312], [3.1373634, 50.6096362], [3.137349, 50.6096397], [3.1373391, 50.6096232], [3.1373331, 50.6096134]]]}";permissive;;toilets;way/256718049;
50.6096348434, 3.13733001729;"{""type"": ""Polygon"", ""coordinates"": [[[3.137311, 50.60963], [3.1373391, 50.6096232], [3.137349, 50.6096397], [3.137337, 50.6096426], [3.137321, 50.6096465], [3.137311, 50.60963]]]}";permissive;;toilets;way/256859780;
50.6096447678, 3.1375147363;"{""type"": ""Polygon"", ""coordinates"": [[[3.1375398, 50.6096617], [3.1375144, 50.609668], [3.1374897, 50.6096278], [3.1375103, 50.6096227], [3.137515, 50.6096215], [3.1375398, 50.6096617]]]}";permissive;;toilets;way/258772067;
50.6094830421, 3.13818526241;"{""type"": ""Polygon"", ""coordinates"": [[[3.1381658, 50.609507], [3.1381541, 50.6094881], [3.1381777, 50.6094822], [3.1381637, 50.6094597], [3.1381792, 50.6094558], [3.1381823, 50.6094551], [3.1381876, 50.6094636], [3.1381974, 50.6094612], [3.1382177, 50.6094941], [3.1381658, 50.609507]]]}";permissive;;toilets;way/276961679;
50.6048462267, 3.14643633066;"{""type"": ""Polygon"", ""coordinates"": [[[3.1464273, 50.6048165], [3.1464794, 50.6048409], [3.1464382, 50.6048775], [3.1464101, 50.6048647], [3.1464056, 50.604851], [3.1464097, 50.6048478], [3.1464145, 50.6048441], [3.1464052, 50.6048395], [3.146412, 50.6048213], [3.1464183, 50.6048239], [3.146422, 50.6048209], [3.1464273, 50.6048165]]]}";permissive;;toilets;way/286615559;
50.6450287597, 3.07264740494;"{""type"": ""Polygon"", ""coordinates"": [[[3.0726099, 50.6450315], [3.0726339, 50.6450071], [3.0726848, 50.6450262], [3.0726613, 50.6450503], [3.0726394, 50.6450423], [3.0726099, 50.6450315]]]}";permissive;;toilets;way/358383976;
50.6113332, 2.9886759;"{""type"": ""Point"", ""coordinates"": [2.9886759, 50.6113332]}";;;toilets;node/725030876;
50.6383606, 3.0460193;"{""type"": ""Point"", ""coordinates"": [3.0460193, 50.6383606]}";;;toilets;node/841814947;
50.6092184, 3.0214021;"{""type"": ""Point"", ""coordinates"": [3.0214021, 50.6092184]}";;;toilets;node/951855917;
50.6262076, 3.0688577;"{""type"": ""Point"", ""coordinates"": [3.0688577, 50.6262076]}";;;toilets;node/1525084105;
50.6549427, 2.9845065;"{""type"": ""Point"", ""coordinates"": [2.9845065, 50.6549427]}";public;;toilets;node/3463660840;
50.6007499, 3.0158784;"{""type"": ""Point"", ""coordinates"": [3.0158784, 50.6007499]}";;;toilets;node/4425626255;
50.6443829, 3.120137;"{""type"": ""Point"", ""coordinates"": [3.120137, 50.6443829]}";;;toilets;node/4936511274;
