Geo Point;objectid;noms;lieux;mode;prestat;adr_rivoli;adr_rgu;pmr;numquartier;horaires;proxi;qual_lun;qual_mar;qual_mer;qual_jeu;qual_ven;qual_sam;qual_dim;traj_sam;lun_mat_n;lun_mat_s;lun_apm_n;lun_apm_s;mar_mat_n;mar_mat_s;mar_apm_n;mar_apm_s;mer_mat_n;mer_mat_s;mer_apm_n;mer_apm_s;jeu_mat_n;jeu_mat_s;jeu_apm_n;jeu_apm_s;ven_mat_n;ven_mat_s;ven_apm_n;ven_apm_s;sam_a;sam_b;passages;mardi;traj_mardi;jeudi;traj_jeudi;mercredi;traj_mercredi;lundi;traj_lundi;vendredi;traj_vendredi;samedi;traj_samedi
48.1144720266, -1.68198149075;26;Salle / CITE;10 rue St. Louis;A;DV PF;8710;v.1015;NON;1;Horaires de la salle;Métro Ste Anne;COMPLET;COMPLET;;COMPLET;;;;0;11;0;0;0;0;0;7;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
48.100616764, -1.71303731958;57;Polyclinique LA SAGESSE;4 place Guénolé;PRIVE;PRIVE;8656;v.4669;OUI;9;Heures de la clinique;Bus n° 3.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1004206958, -1.69806901572;47;COURROUZE;La Courrouze;PROJET;PROJET;;;?;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1080144, -1.67971105845;27;HALLES CENTRALES;2 place Honoré Commeurec;M;DV PF;4480;v.1378;NON;1;de 7h à 19h sauf le dimanche;près bus, stationnement payant , métro République.;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;;13;0;6;0;0;0;7;0;0;0;9;0;0;0;6;0;0;6;6;0;0;2;0;6;Mar_C;4;Jeu_C;2;Mer_C;4;Lun_C;2;Ven_C;2;Sam_B;3
48.1033732763, -1.64889162603;64;Cimetière EST;85 Bd. Villebois Mareuil;M;DV PF;9101;v.26165;OUI;7;Horaires du Cimetière;Bus n° 11.;SOMMAIRE;COMPLET;SOMMAIRE;SOMMAIRE;COMPLET;SOMMAIRE;;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;0;7;Mar_C;8;Jeu_C;7;Mer_C;10;Lun_C;10;Ven_C;8;Sam_B;19
48.092680492, -1.66710790066;60;BIR-HAKEIM;2 place Bir-Hakeim;A;DV PF;0960;v.3470;OUI;8;6h à 23h;Bus n° 33.;SOMMAIRE;COMPLET;CONTROLE;;SOMMAIRE;;;19;0;0;0;4;0;0;0;7;0;4;0;10;0;0;0;4;0;0;0;0;0;0;5;Mar_C;15;Jeu_C;13;Mer_C;2;Lun_C;12;Ven_C;10;;
48.1093346274, -1.67524686448;96;TOULLIER;2 rue Toullier;A;DV PF;9270;v.1388;NON;1;6h à 23h;Bus n° 8.;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;;1;0;5;0;0;0;6;0;0;0;8;0;1;0;5;0;0;0;5;0;0;1;0;7;Mar_C;2;Jeu_C;1;Mer_C;3;Lun_C;1;;;;
48.0942875059, -1.66298604478;65;SOUVENIR;Place du Souvenir Face 13 E. d'Orves;A;DV PF;4480;v.3559;OUI;8;6h à 23h;Bus n° 8.;;COMPLET;CONTROLE;;COMPLET;CONTROLE;;0;0;0;0;3;0;0;0;6;0;3;0;9;0;0;0;0;0;0;0;7;0;0;5;Mar_C;14;Jeu_C;12;Mer_C;1-18;Lun_C;11;;;;
48.1383974897, -1.65401622177;77;Cimetière Saint LAURENT;Face 29 rue de St. Laurent;A;DV PF;8701;v.4377;OUI;5;Horaires du Cimetière;Bus n° 3, 9.;COMPLET;;COMPLET;;COMPLET;;;0;0;0;7;0;4;0;0;0;2;0;0;0;0;0;7;0;0;0;4;0;0;0;5;Mar_A;16;Jeu_A;17;;;;;;;;
48.1165892869, -1.65638518749;44;Jeanne d'ARC;5 Bd. Alexis Carrel Eglise;A;DV PF;0260;v.736;OUI;6;6h à 23h;Bus n° 3, 9.;;COMPLET;;COMPLET;;COMPLET;;13;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;14;0;4;Mar_A;10;Jeu_A;09;;;;;;;;
48.091341029, -1.68114242565;88;SARAH BERNHARDT;Square Sarah Bernhardt;M;DV PF;8979;v.26402;NON;12;Jour de marché;Bus n° 3.;;;CONTROLE;CONTROLE;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;7;0;0;0;0;0;0;2;;;Jeu_C;16;Mer_C;14;;;;;;
48.0835776473, -1.66060914398;56;Paul LAFARGUE;49 avenue des Pays Bas;A;DV PF;7305;v.3887;OUI;11;6h à 23h;Bus n° 33, 59.;;;;;;;;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;6;0;0;4;Mar_C;13;Jeu_C;11;;;;;;;;
48.1352704551, -1.63890000998;101;PATIS TATELIN;Rue du Patis Tatelin;MS;DV PF;;;OUI;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Mar_A;14;Jeu_A;13;Mer_A;20;;;;;;
