"type","crs__type","crs__properties__name","features__type","features__properties__gml_id","features__properties__commune","features__properties__voie","features__properties__numerodansvoie","features__properties__gestionnaire","features__properties__observation","features__properties__identifiant","features__properties__gid","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"FeatureCollection","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature","gin_nettoiement.gintoilettepublique.1","MARCY-L'ETOILE","Allée Louis Raymond","15","NET Sud-Ouest","null","W50001","1","Point","4.704996","45.781115"
"","","","Feature","gin_nettoiement.gintoilettepublique.2","FRANCHEVILLE","Rue de la Doulline","2","NET Sud-Ouest","Place du Repos","W63121","2","Point","4.761693","45.73742"
"","","","Feature","gin_nettoiement.gintoilettepublique.3","CALUIRE-ET-CUIRE","Rue de Verdun","null","NET Nord-Ouest","SQUARE POLNARD","W40031","3","Point","4.84074","45.782999"
"","","","Feature","gin_nettoiement.gintoilettepublique.4","CURIS-AU-MONT-D'OR","Rue du Pontet","null","NET Nord-Ouest","A L INTERIEUR DU STADE","W40013","4","Point","4.823463","45.873426"
"","","","Feature","gin_nettoiement.gintoilettepublique.5","CALUIRE-ET-CUIRE","Rue Coste","null","NET Nord-Ouest","FACE AU N°40","W40001","5","Point","4.833058","45.78456"
"","","","Feature","gin_nettoiement.gintoilettepublique.6","SAINT-GENIS-LAVAL","Place Maréchal Joffre","null","NET Sud-Ouest","Vers rue de la Halle","W86641","6","Point","4.793177","45.694574"
"","","","Feature","gin_nettoiement.gintoilettepublique.7","GENAY","Place de la Mairie","null","NET Nord-Ouest","Sous le parking couvert, au bas escalier","W40041","7","Point","4.841237","45.89746"
"","","","Feature","gin_nettoiement.gintoilettepublique.8","COUZON-AU-MONT-D'OR","Rue Gabrile Péri","null","NET Nord-Ouest","PARKING FACE TENNIS","W40006","8","Point","4.832558","45.848815"
"","","","Feature","gin_nettoiement.gintoilettepublique.9","GIVORS","Avenue du 11 Novembre 1918","null","NET Sud-Ouest","face pompe à essence","W50007","9","Point","4.770678","45.594593"
"","","","Feature","gin_nettoiement.gintoilettepublique.10","SAINT-FONS","Avenue Antoine Gravallon","null","NET Sud-Est","Proche angle Rue du Docteur Louis Jugnet","W42672","10","Point","4.862741","45.70269"
"","","","Feature","gin_nettoiement.gintoilettepublique.11","SAINT-PRIEST","Rue Jean-Jacques Rousseau","null","NET Sud-Est","Sur le parking","W29748","11","Point","4.943321","45.700152"
"","","","Feature","gin_nettoiement.gintoilettepublique.12","SAINTE-FOY-LES-LYON","Rue Jean-Léon Blondeau","null","NET Sud-Ouest","Angle chemin des fonds","W34142","12","Point","4.783465","45.744219"
"","","","Feature","gin_nettoiement.gintoilettepublique.13","RILLIEUX-LA-PAPE","Rue de la Barse","16","NET Nord-Ouest","Vers Place du Château","W40056","13","Point","4.895162","45.824748"
"","","","Feature","gin_nettoiement.gintoilettepublique.14","GENAY","Rue des Ecoles","null","NET Nord-Ouest","Dans le Square Général de Gaulle - Face N°64","W40042","14","Point","4.840276","45.897594"
"","","","Feature","gin_nettoiement.gintoilettepublique.15","RILLIEUX-LA-PAPE","Place de Verdun","null","NET Nord-Ouest","null","W40054","15","Point","4.896392","45.820849"
"","","","Feature","gin_nettoiement.gintoilettepublique.16","CALUIRE-ET-CUIRE","Chemin du Penthod","null","NET Nord-Ouest","VERS RD POINT","W40005","16","Point","4.836349","45.787955"
"","","","Feature","gin_nettoiement.gintoilettepublique.17","NEUVILLE-SUR-SAONE","Place du 8 Mai","null","NET Nord-Ouest","null","W40014","17","Point","4.840811","45.877834"
"","","","Feature","gin_nettoiement.gintoilettepublique.18","FRANCHEVILLE","Rue de la Chapelle de Bel Air","2","NET Sud-Ouest","null","W65533","18","Point","4.756254","45.747087"
"","","","Feature","gin_nettoiement.gintoilettepublique.19","SAINT-PRIEST","Rue Honoré de Balzac","null","NET Sud-Est","null","W82106","19","Point","4.977342","45.70647"
"","","","Feature","gin_nettoiement.gintoilettepublique.20","SAINT-PRIEST","6ème Rue Cité Berliet","null","NET Sud-Est","Angle 2ème Avenue Cité Berliet","W02674","20","Point","4.900768","45.705005"
"","","","Feature","gin_nettoiement.gintoilettepublique.21","OULLINS","Rue Fernand Forest","null","NET Sud-Ouest","null","W73242","21","Point","4.803634","45.721993"
"","","","Feature","gin_nettoiement.gintoilettepublique.22","PIERRE-BENITE","Rue Paul Bert","null","NET Sud-Ouest","Angle Place Jean Jaurès.","W56571","22","Point","4.823858","45.703561"
"","","","Feature","gin_nettoiement.gintoilettepublique.23","IRIGNY","Chemin de Presles","null","NET Sud-Ouest","Intérieur du nouveau cimetière","W44624","23","Point","4.815319","45.680937"
"","","","Feature","gin_nettoiement.gintoilettepublique.24","SAINT-CYR-AU-MONT-D'OR","Route du Mont Cindre","80","NET Nord-Ouest","null","W40057","24","Point","4.820063","45.822999"
"","","","Feature","gin_nettoiement.gintoilettepublique.25","LIMONEST","Place Decurel","null","NET Nord-Ouest","null","W40026","25","Point","4.77236","45.835763"
"","","","Feature","gin_nettoiement.gintoilettepublique.26","CALUIRE-ET-CUIRE","Place de Cuire le Bas","null","NET Nord-Ouest","ANGLE MONTEE DES FORTS","W40003","26","Point","4.828596","45.793824"
"","","","Feature","gin_nettoiement.gintoilettepublique.27","RILLIEUX-LA-PAPE","Place du Marché","null","NET Nord-Ouest","Vers terrain de pétanque","W40052","27","Point","4.89566","45.812566"
"","","","Feature","gin_nettoiement.gintoilettepublique.28","GRIGNY","Avenue du 19 Mars 1945","null","NET Sud-Ouest","angle rue Pasteur - côté intermarché","W50003","28","Point","4.780629","45.604942"
"","","","Feature","gin_nettoiement.gintoilettepublique.29","CURIS-AU-MONT-D'OR","Place de la fontaine","null","NET Nord-Ouest","null","W40012","29","Point","4.81991","45.869645"
"","","","Feature","gin_nettoiement.gintoilettepublique.30","VERNAISON","Place du 11 Novembre 1918 et du 8 Mai 1945","76","NET Sud-Ouest","Face N°76.","W12301","30","Point","4.812729","45.6471"
"","","","Feature","gin_nettoiement.gintoilettepublique.31","CHAMPAGNE-AU-MONT-D'OR","Chemin du Cimetière","null","NET Nord-Ouest","null","W40032","31","Point","4.784932","45.793569"
"","","","Feature","gin_nettoiement.gintoilettepublique.32","VENISSIEUX","Rue Danielle Casanova","null","NET Sud-Est","Entre square Gabriel Péri et Rue Danielle Casanova","W74415","32","Point","4.872368","45.703778"
"","","","Feature","gin_nettoiement.gintoilettepublique.33","MARCY-L'ETOILE","Allée des Ecoles","null","NET Sud-Ouest","parking en face de l'école","W50002","33","Point","4.708206","45.782843"
"","","","Feature","gin_nettoiement.gintoilettepublique.34","VAULX-EN-VELIN","Place François Mauriac","null","NET Nord-Est","Place du marché","W84434","34","Point","4.912352","45.785014"
"","","","Feature","gin_nettoiement.gintoilettepublique.35","COUZON-AU-MONT-D'OR","Avenue Général de Gaulle","null","NET Nord-Ouest","FACE AU N°103","W40007","35","Point","4.831493","45.845675"
"","","","Feature","gin_nettoiement.gintoilettepublique.36","LIMONEST","Rue du Cimetière","null","NET Nord-Ouest","null","W40021","36","Point","4.813486","45.810523"
"","","","Feature","gin_nettoiement.gintoilettepublique.37","VERNAISON","Halle des sports","null","NET Sud-Ouest","Vers l'île Jaricot","W11730","37","Point","4.815922","45.647769"
"","","","Feature","gin_nettoiement.gintoilettepublique.38","CHASSIEU","Place de la Mairie","null","NET Sud-Est","Sur Parking","W62416","38","Point","4.971699","45.743664"
"","","","Feature","gin_nettoiement.gintoilettepublique.39","GENAY","Rue de la Grande Verchère","null","NET Nord-Ouest","Entrée parking cimetière","W40040","39","Point","4.849899","45.898203"
"","","","Feature","gin_nettoiement.gintoilettepublique.40","JONAGE","Bld Louis Pradel","null","NET Nord-Est","Parking Carrefour Market","W56803","40","Point","5.048322","45.795544"
"","","","Feature","gin_nettoiement.gintoilettepublique.41","SAINT-FONS","Rue de Bellevue","null","NET Sud-Est","Proche cimetières des Clochettes Yves Farges","W24456","41","Point","4.856898","45.69879"
"","","","Feature","gin_nettoiement.gintoilettepublique.42","CRAPONNE","Avenue Jean Bergeron","22","NET Sud-Ouest","null","W79367","42","Point","4.723116","45.74329"
"","","","Feature","gin_nettoiement.gintoilettepublique.43","MEYZIEU","Rue de Marseille","null","NET Nord-Est","Sur parking cimetère","W84825","43","Point","5.0116","45.760568"
"","","","Feature","gin_nettoiement.gintoilettepublique.44","PIERRE-BENITE","Boulevard de l'Europe","null","NET Sud-Ouest","Face Rue Vaillant Couturier - Square Claude Beaumont","W68517","44","Point","4.821498","45.707339"
"","","","Feature","gin_nettoiement.gintoilettepublique.45","POLEYMIEUX-AU-MONT-D'OR","Place de la Mairie","null","NET Nord-Ouest","null","W40011","45","Point","4.800145","45.856187"
"","","","Feature","gin_nettoiement.gintoilettepublique.46","CORBAS","Rue des Frères Lumière","null","NET Sud-Est","Proche angle Avenue Corbetta","W68346","46","Point","4.895333","45.664884"
"","","","Feature","gin_nettoiement.gintoilettepublique.47","DARDILLY","Avenue de Verdun","null","NET Nord-Ouest","Proche cimetière","W40039","47","Point","4.751297","45.810426"
"","","","Feature","gin_nettoiement.gintoilettepublique.48","SAINT-GENIS-LES-OLLIERES","Place de la Mairie","null","NET Sud-Ouest","null","W25384","48","Point","4.725475","45.75642"
"","","","Feature","gin_nettoiement.gintoilettepublique.49","DARDILLY","Place de la Porte de Lyon","null","NET Nord-Ouest","null","W40035","49","Point","4.761121","45.82037"
"","","","Feature","gin_nettoiement.gintoilettepublique.50","TASSIN-LA-DEMI-LUNE","Chemin de la Vernique","11","NET Sud-Ouest","null","W17341","50","Point","4.78423","45.765376"
"","","","Feature","gin_nettoiement.gintoilettepublique.51","FLEURIEU-SUR-SAONE","Place des Marronniers","null","NET Nord-Ouest","null","W40017","51","Point","4.863124","45.815872"
"","","","Feature","gin_nettoiement.gintoilettepublique.52","SAINTE-FOY-LES-LYON","Place Henri Révy","93","NET Sud-Ouest","Route de la Libération - Face N° 93","W54174","52","Point","4.77885","45.725382"
"","","","Feature","gin_nettoiement.gintoilettepublique.53","GIVORS","Rue Pierre et Marie Curie","null","NET Sud-Ouest","angle Cité Ambroise Croizat","W50008","53","Point","4.768794","45.597911"
"","","","Feature","gin_nettoiement.gintoilettepublique.54","GIVORS","Cité Ambroise Croizat","null","NET Sud-Ouest","dans la cité","W50009","54","Point","4.767707","45.597063"
"","","","Feature","gin_nettoiement.gintoilettepublique.55","SAINT-PRIEST","Allée du Fort","null","NET Sud-Est","null","W88157","55","Point","4.964041","45.695274"
"","","","Feature","gin_nettoiement.gintoilettepublique.56","VAULX-EN-VELIN","Place Roger Laurent","null","NET Nord-Est","Angle avenue Grandclément","W78123","56","Point","4.919882","45.77041"
"","","","Feature","gin_nettoiement.gintoilettepublique.57","SAINT-GENIS-LES-OLLIERES","Rue de l'Eglise","null","NET Sud-Ouest","Place de l'église - à droite de l'église","W33315","57","Point","4.726184","45.754759"
"","","","Feature","gin_nettoiement.gintoilettepublique.58","VAULX-EN-VELIN","Rue François Rabelais","null","NET Nord-Est","Face au N°34","W81366","58","Point","4.917281","45.777625"
"","","","Feature","gin_nettoiement.gintoilettepublique.59","SAINTE-FOY-LES-LYON","Place Laurent Paul","null","NET Sud-Ouest","Angle rue Laurent Paul","W12914","59","Point","4.789822","45.746147"
"","","","Feature","gin_nettoiement.gintoilettepublique.60","PIERRE-BENITE","Rue Ampère","106","NET Sud-Ouest","Square Manillier - Façe N° 106","W44423","60","Point","4.819065","45.702829"
"","","","Feature","gin_nettoiement.gintoilettepublique.61","SAINT-PRIEST","Place Ferdinand Buisson","null","NET Sud-Est","null","W55207","61","Point","4.941558","45.696295"
"","","","Feature","gin_nettoiement.gintoilettepublique.62","CALUIRE-ET-CUIRE","Montée du belvédére","1","NET Nord-Ouest","bas","W40030","62","Point","4.839767","45.781665"
"","","","Feature","gin_nettoiement.gintoilettepublique.63","DECINES-CHARPIEU","Place Henri Barbusse","null","NET Nord-Est","null","W33335","63","Point","4.96517","45.762864"
"","","","Feature","gin_nettoiement.gintoilettepublique.64","DARDILLY","Chemin de Pierre Blanche","28","NET Nord-Ouest","Derrière l'église","W40034","64","Point","4.750257","45.819161"
"","","","Feature","gin_nettoiement.gintoilettepublique.65","GIVORS","Rue du Moulin","null","NET Sud-Ouest","Angle Rue Montrond","W50010","65","Point","4.76087","45.5878"
"","","","Feature","gin_nettoiement.gintoilettepublique.66","VAULX-EN-VELIN","place Carmelino  ","null","NET Nord-Est","Avenue G.Dimitrov","W92310","66","Point","4.925354","45.777426"
"","","","Feature","gin_nettoiement.gintoilettepublique.67","TASSIN-LA-DEMI-LUNE","Rue Professeur Deperet","81","NET Sud-Ouest","Sur le parking du rond-point d'Alaï","W90913","67","Point","4.765928","45.751443"
"","","","Feature","gin_nettoiement.gintoilettepublique.68","PIERRE-BENITE","Rue du Grand Perron","null","NET Sud-Ouest","Angle Chemin de montmein (cimetière)","W26431","68","Point","4.811499","45.706195"
"","","","Feature","gin_nettoiement.gintoilettepublique.69","SAINT-PRIEST","Place de l'Hôtel de Ville Charles Ottina","null","NET Sud-Est","Face N°35","W53666","69","Point","4.93584","45.694332"
"","","","Feature","gin_nettoiement.gintoilettepublique.70","RILLIEUX-LA-PAPE","Allée de Laffrey","null","NET Nord-Ouest","Vers terrain de pétanque","W40055","70","Point","4.895611","45.824513"
"","","","Feature","gin_nettoiement.gintoilettepublique.71","MIONS","Rue de l'Egalité","null","NET Sud-Est","Proche angle Rue Joanny Sage","W47323","71","Point","4.956402","45.666906"
"","","","Feature","gin_nettoiement.gintoilettepublique.72","SAINT-PRIEST","Rue Rhin et Danube","null","NET Sud-Est","Angle Rue Rhin et Danube et Rue Louis Braille","W41488","72","Point","4.949012","45.695935"
"","","","Feature","gin_nettoiement.gintoilettepublique.73","SATHONAY-CAMP","Rue de la Poste","null","NET Nord-Ouest","null","W40059","73","Point","4.874602","45.824634"
"","","","Feature","gin_nettoiement.gintoilettepublique.74","CALUIRE-ET-CUIRE","Place de l'Eglise","null","NET Nord-Ouest","ANGLE RUE JEAN MOULIN","W40004","74","Point","4.847953","45.799827"
"","","","Feature","gin_nettoiement.gintoilettepublique.75","CORBAS","Rue de l'Aviation","null","NET Sud-Est","Proche angle Chemin de Grange Blanche","W81636","75","Point","4.90449","45.665986"
"","","","Feature","gin_nettoiement.gintoilettepublique.76","SAINT-GERMAIN-AU-MONT-D'OR","Place Ampère","null","NET Nord-Ouest","null","W40010","76","Point","4.805083","45.878549"
"","","","Feature","gin_nettoiement.gintoilettepublique.77","CALUIRE-ET-CUIRE","Allée du Parc de la Jeunesse","null","NET Nord-Ouest","ANGLE RUE DOCTEUR LAENNEC","W40002","77","Point","4.84502","45.791047"
"","","","Feature","gin_nettoiement.gintoilettepublique.78","SAINT-PRIEST","Montée de la Carnière","null","NET Sud-Est","Proche centre d'action social","W34554","78","Point","4.943241","45.697487"
"","","","Feature","gin_nettoiement.gintoilettepublique.79","ECULLY","Rue Auguste Tramier","2","NET Nord-Ouest","null","W40038","79","Point","4.782147","45.774103"
"","","","Feature","gin_nettoiement.gintoilettepublique.80","CAILLOUX-SUR-FONTAINES","Route des Proliéres","null","NET Nord-Ouest","null","W40019","80","Point","4.871599","45.852197"
"","","","Feature","gin_nettoiement.gintoilettepublique.81","MONTANAY","Rue Centrale","714","NET Nord-Ouest","Vers Place de la Poype - Face au N°731","W40046","81","Point","4.86343","45.880986"
"","","","Feature","gin_nettoiement.gintoilettepublique.82","SAINT-DIDIER-AU-MONT-D'OR","Rue Commandant Israel","null","NET Nord-Ouest","DEVANT ENTREE CIMETIERE","W40024","82","Point","4.798187","45.807726"
"","","","Feature","gin_nettoiement.gintoilettepublique.83","RILLIEUX-LA-PAPE","Rond-Point AFN","null","NET Nord-Ouest","MT BLANC (bar livingstone)","W40015","83","Point","4.894034","45.81411"
"","","","Feature","gin_nettoiement.gintoilettepublique.84","RILLIEUX-LA-PAPE","Chemin de la Chapelle","null","NET Nord-Ouest","Parking de la chapelle vers Route de Strasbourg","W40051","84","Point","4.880976","45.803623"
"","","","Feature","gin_nettoiement.gintoilettepublique.85","VENISSIEUX","Rue Georges Lyvet","null","NET Sud-Est","Proche angle Avenue du Président Edouard Herriot","W11372","85","Point","4.875663","45.694795"
"","","","Feature","gin_nettoiement.gintoilettepublique.86","CURIS-AU-MONT-D'OR","Route de st-Germain","null","NET Nord-Ouest","null","W40025","86","Point","4.818718","45.873012"
"","","","Feature","gin_nettoiement.gintoilettepublique.87","CHASSIEU","Place de la République","null","NET Sud-Est","Sur Parking","W44147","87","Point","4.971996","45.7461"
"","","","Feature","gin_nettoiement.gintoilettepublique.88","DECINES-CHARPIEU","Place de la Libération","null","NET Nord-Est","Sur Parking","W21026","88","Point","4.947439","45.769341"
