"ID","Nom","Adresse","Commune","Pôle","Type","Automatique","Acces_PMR","Infos_horaires","location"
"SP_NM_12_001","Cellier","rue du Cellier (parking face à l'école)","Mauves-sur-Loire","Erdre et Loire","","","","","[ 47.2967550262871 , -1.39247410410928]"
"SP_NM_13_002","Vieux Doulon","rue de Rivière n°37  (place du Vieux Doulon)","Nantes","Erdre et Loire","Mobilier","1","1","journée","[ 47.2349401485852 , -1.50276859414071]"
"SP_C_13_033","Marrière","rue de la marrière n°27 - place du marché","Nantes","Erdre et Loire","Bâti","0","0","en journée","[ 47.2343938752821 , -1.53285244350403]"
"SP_C_13_002","Grand Blottereau","parc du grand blottereau","Nantes","Erdre et Loire","Mobilier","1","1","restreints","[ 47.2274986071001 , -1.50877933912959]"
"SP_C_05_001","Place du marché","Rue André Maurois (place du marché)","Carquefou","Erdre et Loire","","","","restreints","[ 47.2962282602878 , -1.49139177009538]"
"SP_NM_05_001","Place Le Corvec","Place Le Corvec","Carquefou","Erdre et Loire","","1","1","restreints","[ 47.2965300571601 , -1.4934256482368]"
"SP_C_13_003","Beaujoire (maison de la Rose)","parc floral de la Beaujoire","Nantes","Erdre et Loire","Bâti","","1","","[ 47.2625645513395 , -1.53076311416444]"
"SP_C_13_004","Beaujoire (vallon)","parc floral de la Beaujoire","Nantes","Erdre et Loire","Bâti","0","0","","[ 47.2618953206344 , -1.53460443859609]"
"SP_C_13_005","Chantrerie","Parc de la Chantrerie","Nantes","Erdre et Loire","Bâti","0","","","[ 47.2880421820774 , -1.52274532606656]"
"SP_C_13_006","Plessis Tison","Parc du Plessis Tison","Nantes","Erdre et Loire","Mobilier","1","1","","[ 47.2353479918952 , -1.53555299703359]"
"SP_NM_08_001","Eglise","Place de l'Eglise","La Chapelle-sur-Erdre","Erdre et Cens","Bâti","1","1","24/24","[ 47.2992124794165 , -1.55005782168864]"
"SP_NM_22_001","Gendarmerie","Place de la Gendarmerie","Sautron","Erdre et Cens","Mobilier","0","1","24/24","[ 47.2625792328604 , -1.6727998481161]"
"SP_C_14_001","Jeanne d’Arc","Place Jeanne d'Arc - Le Bourg","Orvault","Erdre et Cens","Bâti","0","1","24/24","[ 47.2705688535784 , -1.62319175906487]"
"SP_NM_14_001","Bout des Pavés","Place Bout des Pavés","Orvault","Erdre et Cens","Mobilier","1","1","restreints","[ 47.2532769221593 , -1.57648352562549]"
"SP_C_14_002","Petit Chantilly","rue Kindia - Le Petit Chantilly","Orvault","Erdre et Cens","Mobilier","0","0","24/24","[ 47.2526364561662 , -1.59631296898079]"
