geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8648280189, 2.35161126083;"{""type"": ""Point"", ""coordinates"": [2.351611260829617, 48.864828018946774]}";10;02;2/102;85;BOULEVARD DE SEBASTOPOL;601106.877435;129375.048287;6 h - 22 h
48.8667935445, 2.34957136375;"{""type"": ""Point"", ""coordinates"": [2.34957136374784, 48.86679354449764]}";12;02;2/105;73;RUE REAUMUR;600957.183947;129593.588071;6 h - 22 h
48.8668198774, 2.35272664515;"{""type"": ""Point"", ""coordinates"": [2.352726645149509, 48.866819877360705]}";13;02;2/106;109;BOULEVARD DE SEBASTOPOL;601188.661476;129596.561431;6 h - 22 h
48.8700582311, 2.32934537933;"{""type"": ""Point"", ""coordinates"": [2.329345379329587, 48.87005823114267]}";16;02;2/111;37;BOULEVARD DES CAPUCINES;599473.399498;129956.564359;6 h - 22 h
48.8687490656, 2.34323594839;"{""type"": ""Point"", ""coordinates"": [2.3432359483868472, 48.86874906559865]}";22;02;2/123;117;RUE MONTMARTRE;600492.386344;129810.981979;6 h - 22 h
48.8578325126, 2.35581305144;"{""type"": ""Point"", ""coordinates"": [2.355813051437258, 48.8578325125527]}";36;04;4/107;10bis;RUE DE MOUSSY;601415.336016;128597.2136;24 h / 24
48.8567894255, 2.35418309909;"{""type"": ""Point"", ""coordinates"": [2.354183099093415, 48.85678942545494]}";40;04;4/122;face 50;RUE DE RIVOLI;601295.764055;128481.192061;24 h / 24
48.8553031934, 2.36041970739;"{""type"": ""Point"", ""coordinates"": [2.360419707390965, 48.85530319342062]}";41;04;4/127;123;RUE SAINT ANTOINE;601753.438231;128316.048616;24 h / 24
48.8607904234, 2.35131574473;"{""type"": ""Point"", ""coordinates"": [2.351315744725904, 48.86079042337449]}";42;04;4/130;123;RUE SAINT MARTIN;601085.282148;128926.060506;24 h / 24
48.8392007135, 2.33873159224;"{""type"": ""Point"", ""coordinates"": [2.33873159224037, 48.83920071353255]}";45;05;5/103;88 ter;BOULEVARD DE PORT ROYAL;600162.025593;126525.163833;24 h / 24
48.8431229675, 2.35207299082;"{""type"": ""Point"", ""coordinates"": [2.3520729908247002, 48.84312296749093]}";48;05;5/111;face 75 bis;RUE MONGE;601141.234686;126961.437654;24 h / 24
48.8417544352, 2.33748462835;"{""type"": ""Point"", ""coordinates"": [2.33748462835467, 48.84175443523745]}";56;06;6/103;face 139;BOULEVARD SAINT MICHEL;600070.493068;126809.137659;24 h / 24
48.8544281281, 2.33099520431;"{""type"": ""Point"", ""coordinates"": [2.330995204306215, 48.85442812807721]}";61;06;6/146;186;BOULEVARD SAINT GERMAIN;599594.287804;128218.475657;24 h / 24
48.8624769891, 2.31080862005;"{""type"": ""Point"", ""coordinates"": [2.310808620054225, 48.86247698908471]}";64;07;7/105;41;PLACE DE FINLANDE;598113.299778;129113.820555;24 h / 24
48.8551043871, 2.29589590523;"{""type"": ""Point"", ""coordinates"": [2.295895905231061, 48.855104387148856]}";65;07;7/124;;AVENUE CHARLES FLOQUET;597018.73;128294.464;24 h / 24
48.8498348758, 2.32305465373;"{""type"": ""Point"", ""coordinates"": [2.323054653730249, 48.849834875844934]}";67;07;7/127;40;RUE DE SEVRES;599011.512815;127707.775615;6 h - 22 h
48.8651488379, 2.31808802785;"{""type"": ""Point"", ""coordinates"": [2.318088027847812, 48.86514883793256]}";71;08;8/103;;COURS LA REINE;598647.453475;129410.776017;24 h / 24
48.8721336811, 2.33854479898;"{""type"": ""Point"", ""coordinates"": [2.338544798981386, 48.87213368108026]}";80;09;9/102;1;BOULEVARD HAUSSMANN;600148.239495;130187.333388;6 h - 22 h
48.8834206143, 2.34743317135;"{""type"": ""Point"", ""coordinates"": [2.347433171347692, 48.8834206142702]}";86;09;9/116;17;BOULEVARD DE ROCHECHOUART;600800.065808;131442.5047;24 h / 24
48.8816653953, 2.34551626208;"{""type"": ""Point"", ""coordinates"": [2.345516262075593, 48.88166539533085]}";88;09;9/119;11;AVENUE TRUDAINE;600659.506252;131247.304413;6 h - 22 h
48.8823161493, 2.34143291584;"{""type"": ""Point"", ""coordinates"": [2.3414329158415272, 48.88231614934598]}";89;09;9/135;51;BOULEVARD DE ROCHECHOUART;600360.028562;131319.640859;24 h / 24
48.8689996554, 2.35617327983;"{""type"": ""Point"", ""coordinates"": [2.356173279832786, 48.86899965543666]}";91;10;10/101;20;BOULEVARD SAINT MARTIN;601441.452196;129839.014662;24 h / 24
48.875780706, 2.35586267389;"{""type"": ""Point"", ""coordinates"": [2.355862673890456, 48.87578070604331]}";94;10;10/104;;SQUARE ALBAN SATRAGNE;601418.477819;130593.066379;24 h / 24
48.8723150752, 2.36958303183;"{""type"": ""Point"", ""coordinates"": [2.369583031825527, 48.87231507521738]}";98;10;10/108;face 4;AVENUE CLAUDE VELLEFAUX;602425.017149;130208.036682;6 h - 1 h
48.8707513162, 2.35456149368;"{""type"": ""Point"", ""coordinates"": [2.354561493683801, 48.87075131619064]}";100;10;10/110;face au 1;RUE DE METZ;601323.168011;130033.770944;24 h / 24
48.8722796221, 2.37662795136;"{""type"": ""Point"", ""coordinates"": [2.376627951361052, 48.87227962212216]}";107;10;10/118;face 1;BOULEVARD DE LA VILLETTE;602941.792118;130204.345648;24 h / 24
48.8822446249, 2.35053422485;"{""type"": ""Point"", ""coordinates"": [2.350534224849961, 48.88224462487047]}";115;10;10/129;145;BOULEVARD DE MAGENTA;601027.5131;131311.771694;6 h - 22 h
48.8835732741, 2.36874246833;"{""type"": ""Point"", ""coordinates"": [2.368742468326459, 48.88357327405631]}";116;10;10/131;11;PLACE DE LA BATAILLE DE STALINGRAD;602362.83149;131459.929356;6 h - 22 h
48.8662247816, 2.36500326172;"{""type"": ""Point"", ""coordinates"": [2.3650032617181322, 48.86622478164211]}";124;11;11/103;54;BOULEVARD DU TEMPLE;602089.324272;129530.654206;24 h / 24
48.8696842376, 2.37116053465;"{""type"": ""Point"", ""coordinates"": [2.371160534648695, 48.86968423764372]}";144;11;11/140;135;AVENUE PARMENTIER;602540.865792;129915.537748;24 h / 24
48.8461981551, 2.41126940318;"{""type"": ""Point"", ""coordinates"": [2.411269403182583, 48.846198155116454]}";154;12;12/114;2;RUE FERNAND FOUREAU;605485.739757;127306.004965;6 h - 22 h
48.8461125674, 2.37654775403;"{""type"": ""Point"", ""coordinates"": [2.376547754029987, 48.84611256741499]}";168;12;12/156;32;BOULEVARD DIDEROT;602937.435278;127294.547291;24 h / 24
48.8294847116, 2.34942543957;"{""type"": ""Point"", ""coordinates"": [2.34942543957019, 48.829484711629576]}";170;13;13/101;face 61;BOULEVARD AUGUSTE BLANQUI;600947.162113;125444.81627;24 h / 24
48.8303257437, 2.37520071297;"{""type"": ""Point"", ""coordinates"": [2.375200712970527, 48.83032574369729]}";187;13;13/127;face 97;RUE DU CHEVALERET;602839.461644;125538.988783;24 h / 24
48.8396342754, 2.36175466277;"{""type"": ""Point"", ""coordinates"": [2.361754662773166, 48.83963427542653]}";196;13;13/165;;BOULEVARD DE L HOPITAL;601851.967985;126573.685304;6 h - 1 h
48.8404714766, 2.32683121793;"{""type"": ""Point"", ""coordinates"": [2.326831217925536, 48.84047147658251]}";199;14;14/102;face 32;BOULEVARD EDGAR QUINET;599288.523578;126666.516347;24 h / 24
48.8244420825, 2.33853893042;"{""type"": ""Point"", ""coordinates"": [2.33853893041639, 48.82444208254364]}";206;14;14/109;face 40;AVENUE REILLE;600147.917061;124883.992146;24 h / 24
48.8421757132, 2.32316498865;"{""type"": ""Point"", ""coordinates"": [2.323164988646387, 48.84217571324312]}";208;14;14/114;23;RUE DU DEPART;599019.453706;126856.069655;24 h / 24
48.8347355513, 2.33680389185;"{""type"": ""Point"", ""coordinates"": [2.3368038918486462, 48.83473555131084]}";214;14;14/122;98;BOULEVARD ARAGO;600020.525577;126028.631928;6 h - 1 h
48.8382702261, 2.34180576785;"{""type"": ""Point"", ""coordinates"": [2.341805767854998, 48.83827022611262]}";216;14;14/124;95;BOULEVARD DE PORT ROYAL;600387.685319;126421.704366;6 h - 22 h
48.8243414263, 2.32111692411;"{""type"": ""Point"", ""coordinates"": [2.321116924107991, 48.82434142631821]}";224;14;14/145;161;BOULEVARD BRUNE;598868.711177;124872.911883;6 h - 22 h
48.8296102487, 2.32630790325;"{""type"": ""Point"", ""coordinates"": [2.326307903251042, 48.829610248695154]}";227;14;14/152;199;AVENUE DU MAINE;599249.940548;125458.74454;6 h - 22 h
48.8394184396, 2.2914579762;"{""type"": ""Point"", ""coordinates"": [2.291457976199311, 48.83941843956059]}";235;15;15/109;150;RUE DE LA CONVENTION;596692.024655;126550.362152;6 h - 22 h
48.844736498, 2.31101424775;"{""type"": ""Point"", ""coordinates"": [2.311014247753456, 48.84473649798762]}";251;15;15/133;6;BOULEVARD PASTEUR;598127.706498;127141.060086;24 h / 24
