Geo Point;Geo Shape;numero;type;PMR;ADRESSE;emplacement_valide;INSEE
43.5817755341, 1.3885879029;"{""type"": ""Point"", ""coordinates"": [1.38858790289651, 43.58177553412823]}";63;Sanitaires tous publics;T;Place des Pradettes;oui;31555
43.5794762154, 1.45918784291;"{""type"": ""Point"", ""coordinates"": [1.459187842907443, 43.57947621539798]}";16;Sanitaires tous publics;T;avenue Albert Bedouce;oui;31555
43.5916747299, 1.41860397024;"{""type"": ""Point"", ""coordinates"": [1.418603970240554, 43.591674729855185]}";56;Sanitaires tous publics;T;5 Place Emile Male;oui;31555
43.608876893, 1.453636584;"{""type"": ""Point"", ""coordinates"": [1.453636584004989, 43.60887689301044]}";28;Sanitaires tous publics;T;allée Jean Jaurès;oui;31555
43.5787713295, 1.41178584462;"{""type"": ""Point"", ""coordinates"": [1.411785844617362, 43.578771329451584]}";19;Sanitaires standards;F;impasse Paul Lambert;oui;31555
43.5899011172, 1.37799627097;"{""type"": ""Point"", ""coordinates"": [1.377996270972669, 43.58990111716577]}";52;Sanitaires tous publics;T;7 Place Sauvegrain;oui;31555
43.6067499548, 1.45982608474;"{""type"": ""Point"", ""coordinates"": [1.459826084741674, 43.60674995477494]}";34;Sanitaires standards;F;avenue du Cimetière;oui;31555
43.5785811088, 1.44679778089;"{""type"": ""Point"", ""coordinates"": [1.446797780891051, 43.57858110883677]}";60;Sanitaires tous publics;T;80 Rue St Roch;oui;31555
43.5932565609, 1.43491777442;"{""type"": ""Point"", ""coordinates"": [1.434917774417878, 43.59325656089595]}";27;Sanitaires tous publics;T;Cours Dillon;oui;31555
43.6003009223, 1.44390507998;"{""type"": ""Point"", ""coordinates"": [1.443905079980889, 43.600300922314574]}";2;Sanitaires colonnes;F;place Esquirol;oui;31555
43.6065485085, 1.44756751242;"{""type"": ""Point"", ""coordinates"": [1.447567512418407, 43.606548508501675]}";8;Sanitaires tous publics;T;proche 9 bd de Strasbourg;oui;31555
43.6103064145, 1.44351542192;"{""type"": ""Point"", ""coordinates"": [1.443515421923506, 43.61030641453203]}";7;Sanitaires standards;F;proche 73 bd de Strasbourg;oui;31555
43.6364587171, 1.46404206283;"{""type"": ""Point"", ""coordinates"": [1.46404206282624, 43.63645871706779]}";45;Sanitaires tous publics;T;1 bis Rue F. Lopez;oui;31555
43.6269047419, 1.43336912263;"{""type"": ""Point"", ""coordinates"": [1.433369122625372, 43.62690474191033]}";13;Sanitaires tous publics;T;Barrière de Paris;oui;31555
43.6034825867, 1.43610296592;"{""type"": ""Point"", ""coordinates"": [1.436102965924368, 43.603482586722464]}";64;Sanitaires tous publics;T;place Saint-Pierre;oui;31555
43.5648307449, 1.41017529634;"{""type"": ""Point"", ""coordinates"": [1.410175296335949, 43.56483074489307]}";30;Sanitaires tous publics;T;place des Glières;oui;31555
43.6081275304, 1.42795548941;"{""type"": ""Point"", ""coordinates"": [1.427955489410943, 43.60812753038538]}";37;Sanitaires tous publics;T;square Héraclès;oui;31555
43.6185884693, 1.45655512727;"{""type"": ""Point"", ""coordinates"": [1.456555127270529, 43.61858846927677]}";26;Sanitaires standards;T;place Jean Bories;oui;31555
43.5572580446, 1.38052292356;"{""type"": ""Point"", ""coordinates"": [1.380522923560093, 43.557258044599095]}";48;Sanitaires tous publics;T;8 Rue du Cimetière St Simon;oui;31555
43.6041521427, 1.44482045556;"{""type"": ""Point"", ""coordinates"": [1.444820455560687, 43.604152142741306]}";61;Sanitaires tous publics;T;6 Rue du Poids de L Huile;oui;31555
43.5926796198, 1.44477700088;"{""type"": ""Point"", ""coordinates"": [1.444777000879283, 43.5926796198248]}";42;Sanitaires tous publics;T;1 Allées Jules Guesde;oui;31555
43.6038196681, 1.44823171001;"{""type"": ""Point"", ""coordinates"": [1.448231710005446, 43.603819668057305]}";58;Sanitaires intégrables;T;13 Rue Paul Meriel;oui;31555
43.5990107691, 1.428381383;"{""type"": ""Point"", ""coordinates"": [1.428381382999387, 43.599010769101326]}";62;Sanitaires tous publics;T;Place du Ravelin;oui;31555
43.5706991754, 1.40347194586;"{""type"": ""Point"", ""coordinates"": [1.403471945860339, 43.570699175448816]}";54;Sanitaires tous publics;T;3 Rue de Kiev;oui;31555
43.6124464359, 1.47789213612;"{""type"": ""Point"", ""coordinates"": [1.477892136122601, 43.6124464359379]}";59;Sanitaires tous publics;T;Place Soupetard;oui;31555
