Geo Point;Geo Shape;NOM;SOURCE;GID;CODE_INSEE;SOUR_GEOM;MODELE
47.4671895846, -0.536349984602;"{""type"": ""Point"", ""coordinates"": [-0.536349984602176, 47.4671895846226]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;22;49007;ORTHOPHOTO;SAGELEC
47.4777315877, -0.577180475926;"{""type"": ""Point"", ""coordinates"": [-0.577180475926462, 47.4777315876609]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;27;49007;ORTHOPHOTO;SAGELEC
47.4650494413, -0.557628087623;"{""type"": ""Point"", ""coordinates"": [-0.557628087622758, 47.4650494413285]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;36;49007;ORTHOPHOTO;SAGELEC
47.4626769742, -0.552661982874;"{""type"": ""Point"", ""coordinates"": [-0.552661982873976, 47.462676974227]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;40;49007;ORTHOPHOTO;FRANCIOLI
47.4789937041, -0.534212328038;"{""type"": ""Point"", ""coordinates"": [-0.534212328037526, 47.4789937041364]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;44;49007;ORTHOPHOTO;SAGELEC
47.4708269468, -0.5590079548;"{""type"": ""Point"", ""coordinates"": [-0.559007954799792, 47.4708269468382]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;61;49007;ORTHOPHOTO;SAGELEC
47.468888741, -0.553739404584;"{""type"": ""Point"", ""coordinates"": [-0.553739404584201, 47.4688887409899]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;25;49007;ORTHOPHOTO;SAGELEC
47.4710051531, -0.555874760517;"{""type"": ""Point"", ""coordinates"": [-0.555874760517071, 47.4710051531048]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;81;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.472640183, -0.557106586772;"{""type"": ""Point"", ""coordinates"": [-0.557106586772301, 47.472640182987]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;82;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.4594562153, -0.536982919494;"{""type"": ""Point"", ""coordinates"": [-0.536982919494415, 47.4594562152519]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;35;49007;ORTHOPHOTO;MDO
47.4649367703, -0.55967372991;"{""type"": ""Point"", ""coordinates"": [-0.559673729910015, 47.4649367702888]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;37;49007;ORTHOPHOTO;FRANCIOLI
