lat;long;adresse;commune;codepostal
49.16711;-0.28803;Autoroute de Normandie;GIBERVILLE;14730
49.16646;-0.27567;AUTOROUTE A13 AIRE DE GIBERVILLE SUD;Giberville;14730
48.7302505329;7.6894579908;A4E AIRE DE BRUMATH OUEST;BRUMATH;67170
48.7268961716;7.69124867573;A4E AIRE DE BRUMATH EST;BRUMATH;67170
47.47364;0.77727;LES REL.DE TOURAINE AUT A 10;Monnaie;37380
45.6124616512;5.21399694458;A 43 AIRE DE L ISLE D ABEAU;L'Isle-d'Abeau;38080
47.16719;0.6305;AUTOROUTE A 10;Saint-Épain;37800
47.32082;0.91874;Aire de Athée sur CherAutoroute A 85;ATHEE SUR CHER;37270
45.61219;5.22135;A43 Aire de l'isle d'Abeau Nord;L'Isle-d'Abeau;38080
45.6268439334;5.19773708351;AUTOROUTE A 43;L'ISLE D'ABEAU;38080
47.1664570639;0.631743694942;A10 - AIRE DE LA FONTAINE COLETTE;SAINT-ÉPAIN;37800
45.39307;4.80729;Autoroute du Soleil;ROUSSILLON;38150
47.47626;0.77889;AUTOROUTE A10 AIRE DE LA BRUNELLERIE;Monnaie;37380
48.0291;1.87312;A10 AIRE D'ORLEANS GIDY;CHEVILLY;45520
45.03216;1.52469;AUTOROUTE A 20;Cressensac;46600
44.659292011;1.56907044471;Autoroute A20;LABASTIDE-MURAT;46240
47.9796179669;1.8556926147;AUTOROUTE A 10;GIDY;45520
44.9790295481;-0.430828070241;A 10 - AIRE DE L ESTALOT;SAINT-ANDRé-DE-CUBZAC;33240
44.97511;-0.4331;AUTOROUTE A10 CUBZAC LES PONTS;Cubzac-les-Ponts;33240
44.7857211662;-0.593130275951;A 630 AIRE DE THOUARS;GRADIGNAN;33170
44.7857519868;-0.595847661255;AUT A 630   ROCADE PERIPHERIQUE SUD;GRADIGNAN;33170
45.91474;1.29382;AUTOROUTE A 20;Limoges;87280
45.9049494302;1.29205279334;A20 AIRE DE BEAUNE LES MINES;LIMOGES;87280
48.26386;5.86404;AUTOROUTE A31 AIRE DE SANDAUCOURT;Sandaucourt;88170
48.26442;5.86329;AUT A 31   AIRE DE LORRAINE;Sandaucourt;88170
45.87456;1.28872;AIRE DE BEAUNE LES MINES;Limoges;87280
48.2681005366;5.86076119123;Aire de Lorraine Sandaucourt Trel;SANDAUCOURT;88170
43.46889;5.62984;A8 AIRE DE L'ARC;Rousset;13790
43.18852;5.65886;Chemin des Plaines Baronnes;La Ciotat;13600
