X;Y;TYPE;LOCALISATION
1493509.418;9150091.7932;WC gardienné;Forêt de Montgeon (boulodromes)
1493036.5379;9148137.6783;WC gardienné;square Massillon
1493960.2298;9147464.2593;WC gardienné;square Viviani
1489558.4077;9147696.5341;WC gardienné;Jeux de la plage
1494919.1582;9149124.7743;Urinoirs;face au n°19 rue des Chrysanthèmes
1492693.8709;9149200.9654;Urinoirs;58 rue des Acacias (salle des fêtes)
1489737.4786;9148098.7282;Urinoirs;place Saint Vincent de Paul face au n° 21 (eglise)
1489711.8651;9147978.9879;Urinoirs;rue Frédéric Bellanger (boulodrome)
1490302.5778;9147324.7966;Urinoirs;rue Voltaire face Halles Centrales
1492257.2923;9147936.1328;Urinoirs;rue Jean-Jacques Rousseau face au n° 26
1493103.0281;9149023.2472;Urinoirs;place de la Liberté
1495035.9431;9149036.7476;Urinoirs;angle rue Paul Bert et avenue des Dahlias
1495338.0056;9149102.8294;Urinoirs;rue de la Seine Maritime face au n°40
1490172.9552;9147839.9675;WC gardienné;square Saint Roch
1489522.1858;9147967.7062;automatique;parking plage - boulevard Albert 1er
1489518.929;9148907.9881;automatique;Jardins suspendus
1489649.4349;9149003.7904;automatique;Jardins suspendus
1495423.013;9149672.7727;automatique;Place Eglise Saint Pierre
1490321.5076;9147428.8016;automatique;Place des Halles Centrales
1490691.0716;9148003.4167;automatique;29 avenue René Coty
1490926.0248;9147015.8382;automatique;Marché aux poissons
1489116.2238;9148614.1914;automatique;promenade des Régates
1490622.0755;9147663.2917;automatique;place de l'Hôtel de ville - face au n°54
1492122.8477;9148400.1785;automatique;Rond-Point
1489565.8133;9147709.7938;automatique;pataugeoire
1494441.6025;9148991.1055;Urinoirs;Place Emile Dupont
1493301.6717;9148425.073;Urinoirs;424 boulevard de Graville
1489989.9888;9148101.3912;Urinoirs;rue Foubert face à la Poste
1493568.5559;9147070.5555;Urinoirs;boulevard de Graville face au 178
1491960.3614;9147916.042;automatique;rue Philippe Lebon
1493997.6186;9145944.417;Urinoirs;place Jean Lecerf rue Marmiesse
1490736.6755;9149541.8411;Urinoirs + WC(privé);place Vavasseur
1490241.8866;9149047.4423;Urinoirs + WC(privé);place Raymond Poincaré
1492839.6382;9146826.6571;Urinoirs + WC(privé);boulevard Amiral Mouchez face au n°56
1490003.2507;9149175.4293;Urinoirs;place Henri Chandelier près du n°25
1489755.2171;9150484.93;Urinoirs + WC(privé);en face de la place Docteur Levesque (coté église)
1490142.8693;9150328.9746;Urinoirs;place Faride en face du n°6
1491882.5646;9149803.0857;Urinoirs + WC(privé);place de la Mare au Clerc (à l'angle rues du Bois au Coq et de l'Artois)
1491201.3054;9149031.0257;Urinoirs + WC(privé);place de Bayonvilliers
1494200.7412;9148549.1642;Urinoirs;rue de Verdun (salle des fêtes de Graville)
1492802.9366;9148421.4017;Urinoirs;rue Aristide Briand (à coté du n° 311) Observatoire
1492737.4151;9147724.2381;Urinoirs;angle rue Denis Papin et bd Winston Churchill
1490531.6616;9149302.5559;Urinoirs;rue Jean Borda Mairie de Sanvic (dans le square)
1490315.6316;9146874.6342;Urinoirs;place de la Commune à l'angle Francois 1er (boulodrome)
1491479.8166;9148035.4667;WC gardienné;square Holker
1493092.5826;9150496.7772;WC;Forêt de Montgeon (Nord Ouest des lacs)
