lat;long;Nom;Adresse;Commune;Pôle;Acces_PMR
 47.2967550262871 ; -1.39247410410928;Cellier;rue du Cellier (parking face à l'école);Mauves-sur-Loire;Erdre et Loire;
 47.2349401485852 ; -1.50276859414071;Vieux Doulon;rue de Rivière n°37  (place du Vieux Doulon);Nantes;Erdre et Loire;1
 47.2343938752821 ; -1.53285244350403;Marrière;rue de la marrière n°27 - place du marché;Nantes;Erdre et Loire;0
 47.2274986071001 ; -1.50877933912959;Grand Blottereau;parc du grand blottereau;Nantes;Erdre et Loire;1
 47.2962282602878 ; -1.49139177009538;Place du marché;Rue André Maurois (place du marché);Carquefou;Erdre et Loire;
 47.2965300571601 ; -1.4934256482368;Place Le Corvec;Place Le Corvec;Carquefou;Erdre et Loire;1
 47.2625645513395 ; -1.53076311416444;Beaujoire (maison de la Rose);parc floral de la Beaujoire;Nantes;Erdre et Loire;1
 47.2618953206344 ; -1.53460443859609;Beaujoire (vallon);parc floral de la Beaujoire;Nantes;Erdre et Loire;0
 47.2880421820774 ; -1.52274532606656;Chantrerie;Parc de la Chantrerie;Nantes;Erdre et Loire;
 47.2353479918952 ; -1.53555299703359;Plessis Tison;Parc du Plessis Tison;Nantes;Erdre et Loire;1
 47.2992124794165 ; -1.55005782168864;Eglise;Place de l'Eglise;La Chapelle-sur-Erdre;Erdre et Cens;1
 47.2625792328604 ; -1.6727998481161;Gendarmerie;Place de la Gendarmerie;Sautron;Erdre et Cens;1
 47.2705688535784 ; -1.62319175906487;Jeanne d’Arc;Place Jeanne d'Arc - Le Bourg;Orvault;Erdre et Cens;1
 47.2532769221593 ; -1.57648352562549;Bout des Pavés;Place Bout des Pavés;Orvault;Erdre et Cens;1
 47.2526364561662 ; -1.59631296898079;Petit Chantilly;rue Kindia - Le Petit Chantilly;Orvault;Erdre et Cens;0
 47.2434041846086 ; -1.56934660915782;Vallée du Cens (Grotte);vallée du cens;Nantes;Erdre et Cens;
 47.2535618522742 ; -1.56035224228016;Bourgeonnière;rue d'assise;Nantes;Erdre et Cens;1
 47.2424383596741 ; -1.56701446155703;Vallée du Cens (camping);vallée du cens;Nantes;Erdre et Cens;
 47.2143452022477 ; -1.68235350185828;Place des cités;Place des Cités;Couëron;Loire Chézine;
 47.2156318890403 ; -1.72479448617054;Epinettes;rue Alexandre Olivier - Epinettes;Couëron;Loire Chézine;0
 47.2111589065519 ; -1.72749549896159;Charles De Gaulle;place Charles de Gaulle;Couëron;Loire Chézine;0
 47.193248886718 ; -1.64709926489558;Joseph Tahet;rue Joseph Tahet;Indre;Loire Chézine;0
 47.1977903497235 ; -1.67376706998005;Quai d’Indre;quai d'Indre place J. Bordais marché le dim.;Indre;Loire Chézine;1
 47.2219280219297 ; -1.63927863771579;Marcel Paul;Tram ligne 3;Saint-Herblain;Loire Chézine;1
