lat;long;Geometry;ARRONDISSEMENT;NUMERO DE VOIE;NOM DE VOIE;HORAIRES OUVERTURE
48.8648280189; 2.35161126083;"{""type"": ""Point"", ""coordinates"": [2.351611260829617, 48.864828018946774]}";2;85;BOULEVARD DE SEBASTOPOL;6 h - 22 h
48.8667935445; 2.34957136375;"{""type"": ""Point"", ""coordinates"": [2.34957136374784, 48.86679354449764]}";2;73;RUE REAUMUR;6 h - 22 h
48.8668198774; 2.35272664515;"{""type"": ""Point"", ""coordinates"": [2.352726645149509, 48.866819877360705]}";2;109;BOULEVARD DE SEBASTOPOL;6 h - 22 h
48.8700582311; 2.32934537933;"{""type"": ""Point"", ""coordinates"": [2.329345379329587, 48.87005823114267]}";2;37;BOULEVARD DES CAPUCINES;6 h - 22 h
48.8687490656; 2.34323594839;"{""type"": ""Point"", ""coordinates"": [2.3432359483868472, 48.86874906559865]}";2;117;RUE MONTMARTRE;6 h - 22 h
48.8578325126; 2.35581305144;"{""type"": ""Point"", ""coordinates"": [2.355813051437258, 48.8578325125527]}";4;10bis;RUE DE MOUSSY;24 h / 24
48.8567894255; 2.35418309909;"{""type"": ""Point"", ""coordinates"": [2.354183099093415, 48.85678942545494]}";4;face 50;RUE DE RIVOLI;24 h / 24
48.8553031934; 2.36041970739;"{""type"": ""Point"", ""coordinates"": [2.360419707390965, 48.85530319342062]}";4;123;RUE SAINT ANTOINE;24 h / 24
48.8607904234; 2.35131574473;"{""type"": ""Point"", ""coordinates"": [2.351315744725904, 48.86079042337449]}";4;123;RUE SAINT MARTIN;24 h / 24
48.8392007135; 2.33873159224;"{""type"": ""Point"", ""coordinates"": [2.33873159224037, 48.83920071353255]}";5;88 ter;BOULEVARD DE PORT ROYAL;24 h / 24
48.8431229675; 2.35207299082;"{""type"": ""Point"", ""coordinates"": [2.3520729908247002, 48.84312296749093]}";5;face 75 bis;RUE MONGE;24 h / 24
