lat;long;noms;lieux;pmr;;;;;;;;
48.1144720266; -1.68198149075;Salle / CITE;10 rue St. L1s;0;;;;;;;;
48.100616764; -1.71303731958;Polyclinique LA SAGESSE;4 place Guénolé;1;;;;;;;;
48.1004206958; -1.69806901572;COURROUZE;La Courrouze;?;;;;;;;;
48.1080144; -1.67971105845;HALLES CENTRALES;2 place Honoré Commeurec;0;;;;;;;;
48.1033732763; -1.64889162603;Cimetière EST;85 Bd. Villebois Mareuil;1;;;;;;;;
48.092680492; -1.66710790066;BIR-HAKEIM;2 place Bir-Hakeim;1;;;;;;;;
48.1093346274; -1.67524686448;TOULLIER;2 rue Toullier;0;;;;;;;;
48.0942875059; -1.66298604478;SOUVENIR;Place du Souvenir Face 13 E. d'Orves;1;;;;;;;;
48.1383974897; -1.65401622177;Cimetière Saint LAURENT;Face 29 rue de St. Laurent;1;;;;;;;;
48.1165892869; -1.65638518749;Jeanne d'ARC;5 Bd. Alexis Carrel Eglise;1;;;;;;;;
48.091341029; -1.68114242565;SARAH BERNHARDT;Square Sarah Bernhardt;0;;;;;;;;
48.0835776473; -1.66060914398;Paul LAFARGUE;49 avenue des Pays Bas;1;;;;;;;;
48.1352704551; -1.63890000998;PATIS TATELIN;Rue du Patis Tatelin;1;;;;;;;;
48.1078470443; -1.69337824331;Saint CYR quai;61 quai St. Cyr;1;;;;;;;;
48.1164590386; -1.69308767301;La TOUCHE Parc;Côté rue Maréchal Lyautey;1;;;;;;;;
48.1217064877; -1.71198153755;KENNEDY;Dalle Kennedy;;;;;;;;;
48.1088762601; -1.70774462748;Simone MORAND;1 Sq. Simone Morand;1;;;;;;;;
48.1026051132; -1.67271832248;GARE Intérieur;Esplanade Fulgence Bienvenue;1;;;;;;;;
48.1053645479; -1.67426905199;CHAMPS LIBRES;Cours des Alliers;1;;;;;;;;
48.1042812448; -1.67310805329;GARE;Place de la Gare;1;;;;;;;;
48.1109618794; -1.67377102927;KLEBER_public;1 rue Kléber;0;;;;;;;;
48.1144301471; -1.68090207855;Sainte ANNE;Face au 15 place Ste.Anne;1;;;;;;;;
48.1067998241; -1.69557215041;Jean GUY;12 rue Jean Guy;1;;;;;;;;
48.1243097768; -1.65536792508;COURTELINE;Rue Courteline;?;;;;;;;;
48.1185513848; -1.70937251838;BERRY;Parc du Berry;1;;;;;;;;
48.1375245972; -1.64589295441;GAYEULLES  modélisme;rue Maurice AUDIN;;;;;;;;;
48.1211373023; -1.71090511447;VILLEJEAN Bibliotheque;à l'intérieur bibliothèque;;;;;;;;;
48.1053509332; -1.68514412856;Fontaine Abélard;Rue Pierre Abélard;;;;;;;;;
48.1112077763; -1.67988822219;Fontaine Mairie;;;;;;;;;;
48.1235500574; -1.65994658206;BERNANOS;Place G. Bernanos sud;1;;;;;;;;
48.1077890072; -1.65890440465;ROBIDOU;Face 28 rue Bertrand Robidou;1;;;;;;;;
48.1152616568; -1.67712333813;HOCHE;Face au 10 place Hoche et sous-terrain;1;;;;;;;;
48.0894333237; -1.64507648383;HAUTES OURMES Parc;Parc des Hautes Ourmes;?;;;;;;;;
48.1116120439; -1.67994098149;MAIRIE centrale;Place de la Mairie;0;;;;;;;;
48.0886679943; -1.65991169589;Le TRIANGLE;1 bd de Yougoslavie;?;;;;;;;;
48.1144716845; -1.67711344278;Musée BEAUX ARTS HOCHES;32 rue Hoches;?;;;;;;;;
48.1316149192; -1.64219329753;GAYEULLES Parc;"Parc des Gayeuilles SUD ""Tatelin""";;;;;;;;;
48.1096208591; -1.6749677848;Musée BEAUX ARTS ZOLA;20 quai Emile Zola;;;;;;;;;
48.0873141392; -1.6427191226;POTERIE Métro;Rue Émile Littré;;;;;;;;;
48.1193336794; -1.70738836398;VILLEJEAN BOURGOGNE;Rue de Bourgogne;1;;;;;;;;
48.1132173625; -1.68276510139;Haut des LICES 1 & 2;Place du Haut des LICES;?;;;;;;;;
48.1316835223; -1.70280757952;BEAUREGARD Parc;Mail Emmanuel Le Ray;1;;;;;;;;
48.0934341258; -1.74590427641;APIGNE Resto;Parking 2 Chemin rural 72;1;;;;;;;;
