lat;long;Geo Shape;PMR;ADRESSE
43.5817755341; 1.3885879029;"{""type"": ""Point"", ""coordinates"": [1.38858790289651, 43.58177553412823]}";T;Place des Pradettes
43.5794762154; 1.45918784291;"{""type"": ""Point"", ""coordinates"": [1.459187842907443, 43.57947621539798]}";T;avenue Albert Bedouce
43.5916747299; 1.41860397024;"{""type"": ""Point"", ""coordinates"": [1.418603970240554, 43.591674729855185]}";T;5 Place Emile Male
43.608876893; 1.453636584;"{""type"": ""Point"", ""coordinates"": [1.453636584004989, 43.60887689301044]}";T;allée Jean Jaurès
43.5787713295; 1.41178584462;"{""type"": ""Point"", ""coordinates"": [1.411785844617362, 43.578771329451584]}";F;impasse Paul Lambert
43.5899011172; 1.37799627097;"{""type"": ""Point"", ""coordinates"": [1.377996270972669, 43.58990111716577]}";T;7 Place Sauvegrain
43.6067499548; 1.45982608474;"{""type"": ""Point"", ""coordinates"": [1.459826084741674, 43.60674995477494]}";F;avenue du Cimetière
43.5785811088; 1.44679778089;"{""type"": ""Point"", ""coordinates"": [1.446797780891051, 43.57858110883677]}";T;80 Rue St Roch
43.5932565609; 1.43491777442;"{""type"": ""Point"", ""coordinates"": [1.434917774417878, 43.59325656089595]}";T;Cours Dillon
43.6003009223; 1.44390507998;"{""type"": ""Point"", ""coordinates"": [1.443905079980889, 43.600300922314574]}";F;place Esquirol
43.6065485085; 1.44756751242;"{""type"": ""Point"", ""coordinates"": [1.447567512418407, 43.606548508501675]}";T;proche 9 bd de Strasbourg
43.6103064145; 1.44351542192;"{""type"": ""Point"", ""coordinates"": [1.443515421923506, 43.61030641453203]}";F;proche 73 bd de Strasbourg
43.6364587171; 1.46404206283;"{""type"": ""Point"", ""coordinates"": [1.46404206282624, 43.63645871706779]}";T;1 bis Rue F. Lopez
43.6269047419; 1.43336912263;"{""type"": ""Point"", ""coordinates"": [1.433369122625372, 43.62690474191033]}";T;Barrière de Paris
43.6034825867; 1.43610296592;"{""type"": ""Point"", ""coordinates"": [1.436102965924368, 43.603482586722464]}";T;place Saint-Pierre
43.5648307449; 1.41017529634;"{""type"": ""Point"", ""coordinates"": [1.410175296335949, 43.56483074489307]}";T;place des Glières
43.6081275304; 1.42795548941;"{""type"": ""Point"", ""coordinates"": [1.427955489410943, 43.60812753038538]}";T;square Héraclès
